Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/applets/applets.cfg,106,4,16,6,brute-force,1.34E-04,1.32E-04,1.38E-04,9.11E-06,6.08E-06,1.29E-05
/mnt/f/code/busybox-1.31.1/applets/applets.cfg,106,4,16,6,shallow,3.36E-05,3.34E-05,3.39E-05,7.27E-07,5.19E-07,1.09E-06
/mnt/f/code/busybox-1.31.1/applets/applets.cfg,106,4,16,6,deep,1.53E-04,1.51E-04,1.56E-04,7.37E-06,5.48E-06,1.06E-05
/mnt/f/code/busybox-1.31.1/archival/ar.cfg,208,3,8,4,brute-force,1.06E-04,1.05E-04,1.06E-04,2.11E-06,1.60E-06,2.94E-06
/mnt/f/code/busybox-1.31.1/archival/ar.cfg,208,3,8,4,shallow,4.38E-05,4.30E-05,4.56E-05,3.92E-06,1.67E-06,8.11E-06
/mnt/f/code/busybox-1.31.1/archival/ar.cfg,208,3,8,4,deep,3.42E-04,3.38E-04,3.49E-04,1.63E-05,9.09E-06,3.04E-05
/mnt/f/code/busybox-1.31.1/archival/bbunzip.cfg,199,13,8192,288,brute-force,0.405440575,0.3853971,0.41259895,1.34E-02,2.42E-04,1.65E-02
/mnt/f/code/busybox-1.31.1/archival/bbunzip.cfg,199,13,8192,288,shallow,3.15E-03,3.13E-03,3.20E-03,8.80E-05,4.75E-05,1.63E-04
/mnt/f/code/busybox-1.31.1/archival/bbunzip.cfg,199,13,8192,288,deep,3.05E-04,3.03E-04,3.06E-04,4.61E-06,3.42E-06,6.91E-06
/mnt/f/code/busybox-1.31.1/archival/dpkg.cfg,813,8,256,128,brute-force,5.21E-02,5.18E-02,5.25E-02,6.61E-04,4.53E-04,8.91E-04
/mnt/f/code/busybox-1.31.1/archival/dpkg.cfg,813,8,256,128,shallow,2.39E-02,2.38E-02,2.41E-02,3.65E-04,1.99E-04,5.60E-04
/mnt/f/code/busybox-1.31.1/archival/dpkg.cfg,813,8,256,128,deep,1.52E-02,1.47E-02,1.57E-02,1.15E-03,8.45E-04,1.61E-03
/mnt/f/code/busybox-1.31.1/archival/dpkg_deb.cfg,165,7,128,64,brute-force,2.19E-03,2.17E-03,2.23E-03,9.33E-05,6.01E-05,1.43E-04
/mnt/f/code/busybox-1.31.1/archival/dpkg_deb.cfg,165,7,128,64,shallow,5.80E-04,5.77E-04,5.83E-04,9.64E-06,7.58E-06,1.42E-05
