Name,Nodes,Features,Configs,EffectiveConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/brute-force,2.5820629262275903e-5,2.5485949601241086e-5,2.6252711510557735e-5,1.3378181693890715e-6,1.0504651892154189e-6,1.9468541298045596e-6
/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/shallow,1.3928736481533358e-5,1.3806470490304822e-5,1.4062275333222908e-5,4.531778314661903e-7,3.7544505431805346e-7,5.576157746844094e-7
/mnt/f/code/busybox-1.18.5/applets/applets.cfg,93,2,4,3,/deep,9.304200024040963e-5,9.265066073864e-5,9.364305076122755e-5,1.664708391078363e-6,1.0814135968799469e-6,2.481936284561844e-6
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/brute-force,8.427263911855666e-5,8.275508738110371e-5,8.65063111112777e-5,6.1637389908766665e-6,4.440621067919404e-6,8.059399532635081e-6
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/shallow,8.108770559290399e-5,7.767051597887233e-5,8.906165717397379e-5,1.6546601568234622e-5,7.053887298670673e-6,2.8799296347483177e-5
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/deep,2.4986396017264868e-2,2.0708909574334012e-2,3.452614377443205e-2,1.4589639111275947e-2,8.093031469156188e-3,2.438324860624417e-2
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/brute-force,3.9526365566602386e-3,3.916762664873885e-3,3.999039483631106e-3,1.273571918121713e-4,9.693649029728145e-5,1.7883579652610106e-4
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/shallow,2.133607168060001e-3,2.0928350639405277e-3,2.1937059716045136e-3,1.5764691739298948e-4,1.222493514879887e-4,2.1074263128469914e-4
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/deep,2.8470307058645985e-3,2.8286748942336604e-3,2.8672365507628004e-3,6.70843086463522e-5,5.5470937067983676e-5,8.825316017327612e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/brute-force,9.906883979180561e-4,9.855841178652743e-4,9.974837592669997e-4,1.9758259459499448e-5,1.5566405418139123e-5,2.5894023279894183e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/shallow,1.9912999325227836e-3,1.980762965385775e-3,2.003289529048387e-3,3.8477783617785635e-5,3.115773408854845e-5,5.0435746710246845e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/deep,6.720835852653304e-2,6.665258905890974e-2,6.854099030606449e-2,1.392009700725768e-3,5.331357511000883e-4,2.395772076975785e-3
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/brute-force,2.8022050106854923e-3,2.7759672139362817e-3,2.853249788082087e-3,1.1698101091827572e-4,7.552074555443104e-5,2.16362397403171e-4
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/shallow,2.635656377792041e-3,2.6229637322142388e-3,2.6537773866209726e-3,4.8416082461950156e-5,3.474923580612671e-5,7.211174558574428e-5
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/deep,0.12504416323077056,0.12113600355639521,0.13396676424516565,8.327118007933627e-3,4.258098507075941e-3,1.2572052824068104e-2
/mnt/f/code/busybox-1.18.5/archival/dpkg_deb.cfg,152,4,16,16,/brute-force,2.249724454328359e-4,2.2309141182633014e-4,2.281236413174494e-4,7.940465095905008e-6,5.704982252445056e-6,1.1033413815374934e-5
/mnt/f/code/busybox-1.18.5/archival/dpkg_deb.cfg,152,4,16,16,/shallow,1.748825690917618e-4,1.7356691858257675e-4,1.7721309605095054e-4,6.117156102419035e-6,3.885406615781128e-6,1.0226431661675839e-5
/mnt/f/code/busybox-1.18.5/archival/dpkg_deb.cfg,152,4,16,16,/deep,1.9516334146367929,1.944805175095098,1.9557572458773695,6.865881586631421e-3,2.83884587891714e-3,9.523580307358167e-3
/mnt/f/code/busybox-1.18.5/archival/gzip.cfg,775,2,4,4,/brute-force,9.985363327478154e-4,9.94333578238253e-4,1.0059076205498974e-3,1.9146177702485054e-5,1.1977135782278354e-5,3.29407859608277e-5
/mnt/f/code/busybox-1.18.5/archival/gzip.cfg,775,2,4,4,/shallow,9.713491254285627e-4,9.631740121577829e-4,9.986578347327979e-4,4.379691027268465e-5,1.1720480826762862e-5,9.46254204460809e-5
/mnt/f/code/busybox-1.18.5/archival/gzip.cfg,775,2,4,4,/deep,2.947114995416954e-2,2.871118426915257e-2,3.066527266252042e-2,2.01740222653944e-3,1.186522165922854e-3,2.8551013545239294e-3
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_align.cfg,93,0,0,1,/brute-force,9.177834854809143e-9,9.119653757885542e-9,9.417933232487795e-9,3.1758891618753633e-10,1.3035680859286487e-10,6.560499249582226e-10
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_align.cfg,93,0,0,1,/shallow,4.5814857802182945e-6,4.559389297267985e-6,4.615924577609032e-6,9.199708216195132e-8,6.353110628968486e-8,1.3118805768329583e-7
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_align.cfg,93,0,0,1,/deep,9.90126589734794e-5,9.862085556367962e-5,9.94960667247801e-5,1.4739228963817455e-6,1.0787638310782757e-6,2.2786555345917365e-6
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_extract_all.cfg,193,5,32,16,/brute-force,1.241730808156754e-2,1.2354145606512918e-2,1.249733886638655e-2,1.8277086775157956e-4,1.1682637364609109e-4,2.906990415985027e-4
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_extract_all.cfg,193,5,32,16,/shallow,6.161487186852196e-3,6.135579654485669e-3,6.2014034067493055e-3,9.861877157315218e-5,6.95152349635395e-5,1.4995461658660764e-4
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_extract_all.cfg,193,5,32,16,/deep,0.2529380010208115,0.2516274980036542,0.25503484504297375,2.078927276330547e-3,6.993157431981517e-4,2.8527992748606e-3
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_extract_to_command.cfg,152,2,4,4,/brute-force,9.947193834653246e-5,9.888719886121083e-5,1.0014315288130044e-4,2.1002010040218417e-6,1.6421699217170932e-6,2.665503478180415e-6
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_extract_to_command.cfg,152,2,4,4,/shallow,9.147266298026176e-5,9.072885861444737e-5,9.293160207975878e-5,3.4936593232367466e-6,2.2877573090417142e-6,5.436083644959051e-6
/mnt/f/code/busybox-1.18.5/archival/libarchive/data_extract_to_command.cfg,152,2,4,4,/deep,9.540034569726852e-3,9.496241298983398e-3,9.614940974465441e-3,1.5129384864616272e-4,9.222460804528837e-5,2.1319998228882321e-4
