Name,Nodes,Features,Configs,EffectiveConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/brute-force,8.667366569167014e-5,8.574667618657349e-5,8.762030187010014e-5,3.261218224467609e-6,2.909045261035584e-6,3.7140188791864844e-6
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/shallow,8.096719908466652e-5,8.05777480514809e-5,8.153761186272772e-5,1.5095136242519813e-6,1.1576930572181727e-6,1.9668869323422066e-6
/mnt/f/code/busybox-1.18.5/archival/ar.cfg,193,1,2,2,/deep,1.8555032811348928e-2,1.8054806930630673e-2,1.9366772543101353e-2,1.5092984976643365e-3,9.38977884092491e-4,2.2800469156803293e-3
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/brute-force,5.822530643139103e-3,5.7233501291233035e-3,6.012640445233426e-3,3.9527830760535237e-4,2.5546419198106836e-4,5.15477415716727e-4
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/shallow,3.0862405083721305e-3,3.0639157730928766e-3,3.122410278925285e-3,8.900067369155658e-5,5.805749932074321e-5,1.2415737780713623e-4
/mnt/f/code/busybox-1.18.5/archival/bbunzip.cfg,199,7,128,144,/deep,3.347069449747488e-3,3.3237751408974983e-3,3.378405085938605e-3,8.524982866717047e-5,6.45663157045809e-5,1.1980521585808917e-4
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/brute-force,1.2054577097007128e-3,1.199703565684239e-3,1.212510020519207e-3,2.211874456813685e-5,1.691411225808318e-5,2.988997465299508e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/shallow,2.4291421898255208e-3,2.415420765939793e-3,2.4490624300897235e-3,5.5772220903275226e-5,4.005731984439659e-5,7.661831190849612e-5
/mnt/f/code/busybox-1.18.5/archival/bzip2.cfg,1507,1,2,4,/deep,6.879162287418782e-2,6.746326832924315e-2,7.124408345447261e-2,3.107507719595361e-3,1.4592319649667851e-3,4.404237850967202e-3
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/brute-force,5.408558261264475e-3,5.3796932288468e-3,5.446989077411967e-3,9.799285115790336e-5,7.112906205543447e-5,1.3394291952711524e-4
/mnt/f/code/busybox-1.18.5/archival/dpkg.cfg,806,4,16,16,/shallow,5.303688083003517e-3,5.277260614868109e-3,5.391604335877293e-3,1.3032802204947304e-4,5.2635106493694586e-5,2.6842910389584477e-4
