Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/applets/applets.cfg,106,4,16,6,brute-force,1.3380283855433684e-4,1.3163295927610624e-4,1.3669486575912113e-4,8.235243791394097e-6,6.213224611064179e-6,1.1739476389822041e-5
/mnt/f/code/busybox-1.31.1/applets/applets.cfg,106,4,16,6,shallow,3.545753063672825e-5,3.525623907691362e-5,3.5860696636191244e-5,8.931864018671591e-7,5.667955448504744e-7,1.6796500247764384e-6
/mnt/f/code/busybox-1.31.1/applets/applets.cfg,106,4,16,6,deep,1.303785869257922e-4,1.292350721982432e-4,1.3212462678259573e-4,4.546297404502642e-6,3.022774933567276e-6,6.245493291730498e-6
/mnt/f/code/busybox-1.31.1/archival/ar.cfg,208,3,8,4,brute-force,1.0620217684086145e-4,1.0558840293327157e-4,1.0689720212189082e-4,2.2401824001502516e-6,1.8162516628985538e-6,2.871903680965315e-6
/mnt/f/code/busybox-1.31.1/archival/ar.cfg,208,3,8,4,shallow,4.560769995169116e-5,4.509322221762428e-5,4.638698082422718e-5,2.021899108777799e-6,1.4018140221670765e-6,2.937503690606274e-6
/mnt/f/code/busybox-1.31.1/archival/ar.cfg,208,3,8,4,deep,2.676135530508471e-4,2.658248000487542e-4,2.71079727747583e-4,8.18421257623941e-6,4.6161828355199084e-6,1.590630100303979e-5
/mnt/f/code/busybox-1.31.1/archival/bbunzip.cfg,199,13,8192,288,brute-force,0.42457441667405266,0.42108102500787936,0.4278830833306225,3.8336872488982515e-3,3.3259895620893053e-3,4.103805708027168e-3
/mnt/f/code/busybox-1.31.1/archival/bbunzip.cfg,199,13,8192,288,shallow,3.905403950579713e-3,3.882350086758893e-3,3.940202578219965e-3,8.83282231251193e-5,5.134073977509191e-5,1.2636688127012864e-4
/mnt/f/code/busybox-1.31.1/archival/bbunzip.cfg,199,13,8192,288,deep,4.161860181332358e-4,4.1296600779492434e-4,4.217228035613353e-4,1.4392770661537053e-5,1.133375823885241e-5,1.7849866381863032e-5
/mnt/f/code/busybox-1.31.1/archival/dpkg.cfg,813,8,256,128,brute-force,2.213657674958198e-2,2.19427005257922e-2,2.268660819315041e-2,6.963797707907805e-4,2.2520314371818654e-4,1.3361204759402053e-3
/mnt/f/code/busybox-1.31.1/archival/dpkg.cfg,813,8,256,128,shallow,9.094371899979137e-3,9.042235712664362e-3,9.152587285989501e-3,1.5213604644914502e-4,1.2116624040431668e-4,1.9909003275394264e-4
/mnt/f/code/busybox-1.31.1/archival/dpkg.cfg,813,8,256,128,deep,1.5241783780999914e-3,1.502320836082522e-3,1.5650666055752533e-3,1.0247133022838065e-4,6.51902953403259e-5,1.550138837130469e-4
/mnt/f/code/busybox-1.31.1/archival/dpkg_deb.cfg,165,7,128,64,brute-force,2.2482559735836067e-3,2.2085647506019136e-3,2.2999369166697954e-3,1.4952258519758697e-4,1.1063256185486853e-4,1.878591344711214e-4
/mnt/f/code/busybox-1.31.1/archival/dpkg_deb.cfg,165,7,128,64,shallow,6.217237734192659e-4,6.108415910299216e-4,6.600799853437373e-4,6.0887174251442026e-5,1.9866470247566394e-5,1.2442548400661195e-4
/mnt/f/code/busybox-1.31.1/archival/dpkg_deb.cfg,165,7,128,64,deep,2.1029736623882624e-4,2.0655414034052256e-4,2.1924723618579496e-4,1.77955399616887e-5,7.644711364535172e-6,3.2605660563876497e-5
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_align.cfg,106,2,4,2,brute-force,2.9759630592443996e-5,2.953962622993507e-5,3.005892975960785e-5,8.277458281696397e-7,6.026768338318067e-7,1.2058940710788185e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_align.cfg,106,2,4,2,shallow,1.176118901097088e-5,1.1634528136828464e-5,1.2000649314940415e-5,6.154859828672042e-7,3.788380732186852e-7,9.951772138866816e-7
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_align.cfg,106,2,4,2,deep,1.3322455215624592e-4,1.30875953948593e-4,1.40697271952203e-4,1.2845144486756755e-5,3.380642245658819e-6,2.6503204833478545e-5
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_all.cfg,237,9,512,128,brute-force,1.6140798135858347e-2,1.6011539578503015e-2,1.628850341332714e-2,3.4008743263374907e-4,2.7134250560185486e-4,4.1848386219336774e-4
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_all.cfg,237,9,512,128,shallow,1.957187334066699e-3,1.933812704341217e-3,1.9951311994975845e-3,9.41275569702802e-5,6.69295288674512e-5,1.2465011324212734e-4
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_all.cfg,237,9,512,128,deep,5.20004454436147e-4,5.166995725269964e-4,5.248299538436769e-4,1.3766158143769676e-5,9.309272782804425e-6,2.057954368584585e-5
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_to_command.cfg,180,4,16,8,brute-force,1.9887666867072156e-4,1.977681620240142e-4,2.0091764459082356e-4,5.114497889083007e-6,3.1653906194142793e-6,9.169455495704734e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_to_command.cfg,180,4,16,8,shallow,8.21480388745215e-5,8.121812054515661e-5,8.443810842710274e-5,4.471306605792224e-6,2.088942021863821e-6,8.464050747284622e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_to_command.cfg,180,4,16,8,deep,2.2574471109591804e-4,2.230976312173796e-4,2.2955484995191018e-4,1.0587677993506964e-5,6.458646670453997e-6,1.5089689200773e-5
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_to_stdout.cfg,105,2,4,2,brute-force,2.950026531977075e-5,2.9290635632864325e-5,2.9825985814719705e-5,8.897423181399155e-7,6.373112492486378e-7,1.3172560065907089e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_to_stdout.cfg,105,2,4,2,shallow,1.2008954345444184e-5,1.1804926751393518e-5,1.2463601122825896e-5,1.0003734268548898e-6,5.074822728349307e-7,1.6001622636364239e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_extract_to_stdout.cfg,105,2,4,2,deep,1.3001696419967404e-4,1.291394070203763e-4,1.3200485181490037e-4,3.970063127825945e-6,2.6014192441015378e-6,6.817910602154075e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_skip.cfg,104,2,4,2,brute-force,2.8871771297763354e-5,2.869946417239426e-5,2.923606872419708e-5,7.738627330828742e-7,3.957942968417528e-7,1.3004006714576249e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_skip.cfg,104,2,4,2,shallow,1.1945237144887498e-5,1.1729591014865273e-5,1.2275332922376049e-5,8.591212426814008e-7,6.070882439767299e-7,1.1716700485512714e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/data_skip.cfg,104,2,4,2,deep,1.2569107688090376e-4,1.2472167463590335e-4,1.2702160047735407e-4,3.881895118943435e-6,2.7683158100358555e-6,5.704655742553627e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_bunzip2.cfg,249,3,8,4,brute-force,1.5146814435018272e-4,1.4999909598178315e-4,1.5449975027125812e-4,6.8396665573503875e-6,3.835758779224961e-6,1.2974399179623353e-5
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_bunzip2.cfg,249,3,8,4,shallow,6.777395206189047e-5,6.70309087738487e-5,6.883632385391743e-5,3.071944789660669e-6,2.2336482348119916e-6,4.4574697718648755e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_bunzip2.cfg,249,3,8,4,deep,4.662818759132085e-4,4.618361625452861e-4,4.735788652679233e-4,1.871746245643909e-5,1.1005150088552444e-5,2.8743144565922932e-5
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_uncompress.cfg,126,3,8,4,brute-force,7.151087569764324e-5,7.074217443911092e-5,7.251880877896185e-5,3.065738855558353e-6,2.343281914460576e-6,4.257726167769879e-6
/mnt/f/code/busybox-1.31.1/archival/libarchive/decompress_uncompress.cfg,126,3,8,4,shallow,2.8081195146896744e-5,2.7869598193188303e-5,2.8305712243194528e-5,7.495409759549046e-7,6.019501632792223e-7,9.677985704040122e-7
